"","1","2","3","4","5","6","7","8"
"FI_treas_short","1","1","1","1","1","1","1","1"
"FI_HY","1","1","3","4","4","4","5","6"
"FI_deving_intl","1","1","3","4","5","6","7","8"
"FI_treas_long","1","2","2","2","2","2","2","2"
"FI_IG_long","1","2","2","2","2","2","4","4"
"FI_deved_intl","1","2","2","2","2","5","6","7"
"FI_IG_short","1","2","2","3","3","3","3","3"
"FI_IG_mid","1","2","2","3","3","3","3","5"
"Variance% of PC1","64.9%","86.9%","86.9%","88%","88%","91.7%","97.6%","100%"
"Retained Correlation","11%","27%","55%","59%","78%","83%","86%","100%"
