"","x"
"1",7.040001
"2",0.290001000000004
"3",-5.5
"4",-0.540001000000004
"5",2.549999
"6",1.830002
"7",-3.59
"8",3.68
"9",-1.04000000000001
"10",1.549999
"11",0.470001000000003
"12",2.040001
"13",-4.799999
"14",-0.820003999999997
"15",-2.859997
"16",-5.040001
"17",-6.380001
"18",-8.989997
"19",-1.200001
"20",5.880001
"21",-3.990002
"22",5.41
"23",0.380001
"24",0.579998000000003
"25",-4.639999
"26",-2.630001
"27",-2.289999
"28",-0.229999999999997
"29",-1.030001
"30",-1.129999
"31",-3.77
"32",-1.5
"33",1.569999
"34",2.480002
"35",-0.0600009999999997
"36",-2
"37",-3.39
"38",1.42
"39",3.59
"40",-0.559999000000001
"41",1.029999
"42",3.25
"43",-2.690001
"44",-0.689998000000003
"45",-0.66
"46",-2.67
"47",0.869999
"48",-1.23
"49",3.129999
"50",3.280001
"51",-2.51
"52",2.989999
"53",0.0900010000000009
"54",0.620000000000001
"55",1.769999
"56",-2.73
"57",1.41
"58",1.600003
"59",0.629996999999996
"60",-0.0200009999999935
"61",-0.549999
"62",0.299999
"63",1.880001
"64",-5.83
"65",-5.84
"66",-1.559999
"67",1.139999
"68",3.190001
"69",2.139999
"70",3.430002
