"","x"
"1",8.849998
"2",6.65999599999999
"3",-6.44000199999999
"4",-0.439994999999996
"5",-7.040001
"6",-4.579994
"7",3.969993
"8",7.530007
"9",-4.010002
"10",0.609999999999999
"11",-3.79000099999999
"12",7.609993
"13",-4.64999400000001
"14",0.470001999999994
"15",-7.650002
"16",-3.549995
"17",-0.550003000000004
"18",1.470001
"19",9.869995
"20",-7.289993
"21",-2.5
"22",-0.190003000000004
"23",0.629997000000003
"24",-1.729995
"25",-7.44000299999999
"26",3.88999999999999
"27",-1.959999
"28",2.44000200000001
"29",-7.380005
"30",-0.45999900000001
"31",5.489998
"32",11.690002
"33",-1
"34",6.010003
"35",-7.59000400000001
"36",10.410003
"37",2.509995
"38",-4.199997
"39",0.859999999999999
"40",-3.699997
"41",-10.190002
"42",-2.139999
"43",5.94000200000001
"44",3.67999999999999
"45",-0.510002
"46",2.04999600000001
"47",-0.149994000000007
"48",-2.60000599999999
"49",2.730003
"50",5.06999999999999
"51",-4.239998
"52",-0.910003999999986
"53",0.429999999999993
"54",2.550004
"55",4
"56",-2.650002
"57",0.790001000000004
"58",-1.200005
"59",-1.489998
"60",-4.449996
"61",-2.660004
"62",-2.479996
"63",-0.75
"64",2.39
"65",0.389999000000003
"66",5.709999
"67",3.5
"68",-0.760002
"69",-1.979996
"70",-0.810005000000004
