"","x"
"1",-2.169998
"2",1.650002
"3",-2.350003
"4",-0.719996999999999
"5",0.0700000000000003
"6",-2.020001
"7",-0.389999000000003
"8",4.01999600000001
"9",3.680001
"10",1.84
"11",-4.5
"12",-4.48
"13",-4.719997
"14",-0.570003999999997
"15",-5.14999700000001
"16",5.040001
"17",0.339999999999996
"18",0.349998000000006
"19",-3.52
"20",1.43
"21",-1.220001
"22",-1.610001
"23",-1.129997
"24",6.450001
"25",-5.440003
"26",-1.299999
"27",1
"28",-0.32
"29",-1.649999
"30",-0.930000999999997
"31",0.879999999999999
"32",-1.55
"33",0.670000000000002
"34",2.940001
"35",0.599998000000006
"36",-1.09
"37",-3.649999
"38",-2.48
"39",1.139999
"40",1.450001
"41",-0.889999000000003
"42",-0.230001999999999
"43",0.75
"44",0.470002000000001
"45",-1.720002
"46",-0.259999999999998
"47",-0.259998000000003
"48",1.859999
"49",-0.719999999999999
"50",-2.74
"51",0.379999999999999
"52",-0.760000999999999
"53",-0.149999000000001
"54",-0.629998999999998
"55",27.869999
"56",2.367
"57",-1.146999
"58",1.59
"59",-0.490001999999997
"60",-6.43
"61",3.02
"62",-2.989997
"63",-0.930000999999997
"64",-0.600002000000003
"65",0.909999999999997
"66",-0.633998999999996
"67",0.866000999999997
"68",-2.37200199999999
"69",-1.119999
"70",-1.77999800000001
