"","MONTH","AC_ID","MOD_ID","PC1"
"1",Jun 2013,"Commodity","CO_grains",48.669998
"2",Jul 2013,"Commodity","CO_grains",46.5
"3",Aug 2013,"Commodity","CO_grains",48.150002
"4",Sep 2013,"Commodity","CO_grains",45.799999
"5",Oct 2013,"Commodity","CO_grains",45.080002
"6",Nov 2013,"Commodity","CO_grains",45.150002
"7",Dec 2013,"Commodity","CO_grains",43.130001
"8",Jan 2014,"Commodity","CO_grains",42.740002
"9",Feb 2014,"Commodity","CO_grains",46.759998
"10",Mar 2014,"Commodity","CO_grains",50.439999
"11",Apr 2014,"Commodity","CO_grains",52.279999
"12",May 2014,"Commodity","CO_grains",47.779999
"13",Jun 2014,"Commodity","CO_grains",43.299999
"14",Jul 2014,"Commodity","CO_grains",38.580002
"15",Aug 2014,"Commodity","CO_grains",38.009998
"16",Sep 2014,"Commodity","CO_grains",32.860001
"17",Oct 2014,"Commodity","CO_grains",37.900002
"18",Nov 2014,"Commodity","CO_grains",38.240002
"19",Dec 2014,"Commodity","CO_grains",38.59
"20",Jan 2015,"Commodity","CO_grains",35.07
"21",Feb 2015,"Commodity","CO_grains",36.5
"22",Mar 2015,"Commodity","CO_grains",35.279999
"23",Apr 2015,"Commodity","CO_grains",33.669998
"24",May 2015,"Commodity","CO_grains",32.540001
"25",Jun 2015,"Commodity","CO_grains",38.990002
"26",Jul 2015,"Commodity","CO_grains",33.549999
"27",Aug 2015,"Commodity","CO_grains",32.25
"28",Sep 2015,"Commodity","CO_grains",33.25
"29",Oct 2015,"Commodity","CO_grains",32.93
"30",Nov 2015,"Commodity","CO_grains",31.280001
"31",Dec 2015,"Commodity","CO_grains",30.35
"32",Jan 2016,"Commodity","CO_grains",31.23
"33",Feb 2016,"Commodity","CO_grains",29.68
"34",Mar 2016,"Commodity","CO_grains",30.35
"35",Apr 2016,"Commodity","CO_grains",33.290001
"36",May 2016,"Commodity","CO_grains",33.889999
"37",Jun 2016,"Commodity","CO_grains",32.799999
"38",Jul 2016,"Commodity","CO_grains",29.15
"39",Aug 2016,"Commodity","CO_grains",26.67
"40",Sep 2016,"Commodity","CO_grains",27.809999
"41",Oct 2016,"Commodity","CO_grains",29.26
"42",Nov 2016,"Commodity","CO_grains",28.370001
"43",Dec 2016,"Commodity","CO_grains",28.139999
"44",Jan 2017,"Commodity","CO_grains",28.889999
"45",Feb 2017,"Commodity","CO_grains",29.360001
"46",Mar 2017,"Commodity","CO_grains",27.639999
"47",Apr 2017,"Commodity","CO_grains",27.379999
"48",May 2017,"Commodity","CO_grains",27.120001
"49",Jun 2017,"Commodity","CO_grains",28.98
"50",Jul 2017,"Commodity","CO_grains",28.26
"51",Aug 2017,"Commodity","CO_grains",25.52
"52",Sep 2017,"Commodity","CO_grains",25.9
"53",Oct 2017,"Commodity","CO_grains",25.139999
"54",Nov 2017,"Commodity","CO_grains",24.99
"55",Dec 2017,"Commodity","CO_grains",24.360001
"56",Jan 2018,"Commodity","CO_grains",52.23
"57",Feb 2018,"Commodity","CO_grains",54.597
"58",Mar 2018,"Commodity","CO_grains",53.450001
"59",Apr 2018,"Commodity","CO_grains",55.040001
"60",May 2018,"Commodity","CO_grains",54.549999
"61",Jun 2018,"Commodity","CO_grains",48.119999
"62",Jul 2018,"Commodity","CO_grains",51.139999
"63",Aug 2018,"Commodity","CO_grains",48.150002
"64",Sep 2018,"Commodity","CO_grains",47.220001
"65",Oct 2018,"Commodity","CO_grains",46.619999
"66",Nov 2018,"Commodity","CO_grains",47.529999
"67",Dec 2018,"Commodity","CO_grains",46.896
"68",Jan 2019,"Commodity","CO_grains",47.762001
"69",Feb 2019,"Commodity","CO_grains",45.389999
"70",Mar 2019,"Commodity","CO_grains",44.27
"71",Apr 2019,"Commodity","CO_grains",42.490002
