"","x"
"1",-2.960007
"2",2.960007
"3",-2.68000000000001
"4",-2.040001
"5",5.51999600000001
"6",6.160004
"7",13.959999
"8",5.32000000000001
"9",-4.360001
"10",8.51999699999999
"11",-5.39999399999999
"12",-2.400001
"13",-14
"14",4.639999
"15",-0.599998999999997
"16",-7.31999900000001
"17",3.91999800000001
"18",-25.959999
"19",-4.400002
"20",0.279999000000004
"21",-2
"22",0.880001
"23",-2.36000000000001
"24",2.760002
"25",-2.080002
"26",-1.360001
"27",-4.36
"28",-7.199997
"29",-4.360001
"30",-0.200001
"31",-0.720000999999996
"32",-9.87999900000001
"33",2.559999
"34",1.08
"35",-0.16
"36",7.000002
"37",-0.359999999999999
"38",-0.400002000000001
"39",-0.359999999999999
"40",-1.119999
"41",1.400001
"42",3.63999999999999
"43",-5.92
"44",-4.680001
"45",3.520001
"46",0
"47",-2.600001
"48",-0.559999000000001
"49",-1.84
"50",1.559999
"51",-0.559999000000001
"52",-2.360001
"53",0.280000999999999
"54",-0.880001
"55",1.76
"56",-2.82
"57",0.289998999999998
"58",0.0100000000000016
"59",1.33
"60",-0.189997999999999
"61",-0.890001999999999
"62",1.140002
"63",0.879998999999998
"64",1.870001
"65",10.619999
"66",-12.610001
"67",0.570001999999999
"68",-0.550000999999998
"69",-1.25
"70",-1.15
