"","MONTH","AC_ID","MOD_ID","PC1"
"1",Jun 2013,"Commodity","CO_oil1",25.92
"2",Jul 2013,"Commodity","CO_oil1",27.280001
"3",Aug 2013,"Commodity","CO_oil1",27.52
"4",Sep 2013,"Commodity","CO_oil1",27.440001
"5",Oct 2013,"Commodity","CO_oil1",27.049999
"6",Nov 2013,"Commodity","CO_oil1",26.73
"7",Dec 2013,"Commodity","CO_oil1",27.700001
"8",Jan 2014,"Commodity","CO_oil1",26.879999
"9",Feb 2014,"Commodity","CO_oil1",28.65
"10",Mar 2014,"Commodity","CO_oil1",28.620001
"11",Apr 2014,"Commodity","CO_oil1",28.459999
"12",May 2014,"Commodity","CO_oil1",29.469999
"13",Jun 2014,"Commodity","CO_oil1",30.76
"14",Jul 2014,"Commodity","CO_oil1",28.9
"15",Aug 2014,"Commodity","CO_oil1",28.4
"16",Sep 2014,"Commodity","CO_oil1",27.129999
"17",Oct 2014,"Commodity","CO_oil1",24.18
"18",Nov 2014,"Commodity","CO_oil1",20.030001
"19",Dec 2014,"Commodity","CO_oil1",15.7
"20",Jan 2015,"Commodity","CO_oil1",13.62
"21",Feb 2015,"Commodity","CO_oil1",14.63
"22",Mar 2015,"Commodity","CO_oil1",13.49
"23",Apr 2015,"Commodity","CO_oil1",15.18
"24",May 2015,"Commodity","CO_oil1",14.74
"25",Jun 2015,"Commodity","CO_oil1",14.6
"26",Jul 2015,"Commodity","CO_oil1",12.08
"27",Aug 2015,"Commodity","CO_oil1",12.43
"28",Sep 2015,"Commodity","CO_oil1",11.35
"29",Oct 2015,"Commodity","CO_oil1",11.59
"30",Nov 2015,"Commodity","CO_oil1",10.46
"31",Dec 2015,"Commodity","CO_oil1",9.05
"32",Jan 2016,"Commodity","CO_oil1",8
"33",Feb 2016,"Commodity","CO_oil1",7.38
"34",Mar 2016,"Commodity","CO_oil1",7.77
"35",Apr 2016,"Commodity","CO_oil1",8.6
"36",May 2016,"Commodity","CO_oil1",9.06
"37",Jun 2016,"Commodity","CO_oil1",9.16
"38",Jul 2016,"Commodity","CO_oil1",8.06
"39",Aug 2016,"Commodity","CO_oil1",8.43
"40",Sep 2016,"Commodity","CO_oil1",8.87
"41",Oct 2016,"Commodity","CO_oil1",8.57
"42",Nov 2016,"Commodity","CO_oil1",9
"43",Dec 2016,"Commodity","CO_oil1",9.68
"44",Jan 2017,"Commodity","CO_oil1",9.35
"45",Feb 2017,"Commodity","CO_oil1",9.31
"46",Mar 2017,"Commodity","CO_oil1",8.79
"47",Apr 2017,"Commodity","CO_oil1",8.54
"48",May 2017,"Commodity","CO_oil1",8.29
"49",Jun 2017,"Commodity","CO_oil1",8.07
"50",Jul 2017,"Commodity","CO_oil1",8.54
"51",Aug 2017,"Commodity","CO_oil1",8.33
"52",Sep 2017,"Commodity","CO_oil1",8.79
"53",Oct 2017,"Commodity","CO_oil1",9.24
"54",Nov 2017,"Commodity","CO_oil1",9.68
"55",Dec 2017,"Commodity","CO_oil1",10.15
"56",Jan 2018,"Commodity","CO_oil1",10.96
"57",Feb 2018,"Commodity","CO_oil1",10.49
"58",Mar 2018,"Commodity","CO_oil1",11.17
"59",Apr 2018,"Commodity","CO_oil1",11.82
"60",May 2018,"Commodity","CO_oil1",11.92
"61",Jun 2018,"Commodity","CO_oil1",12.46
"62",Jul 2018,"Commodity","CO_oil1",12.21
"63",Aug 2018,"Commodity","CO_oil1",12.64
"64",Sep 2018,"Commodity","CO_oil1",13.48
"65",Oct 2018,"Commodity","CO_oil1",12.17
"66",Nov 2018,"Commodity","CO_oil1",9.48
"67",Dec 2018,"Commodity","CO_oil1",8.47
"68",Jan 2019,"Commodity","CO_oil1",9.92
"69",Feb 2019,"Commodity","CO_oil1",10.34
"70",Mar 2019,"Commodity","CO_oil1",10.51
"71",Apr 2019,"Commodity","CO_oil1",10.92
