"","x"
"1",3.180001
"2",1.119999
"3",-1.630002
"4",-2.159999
"5",-1.23
"6",1.860001
"7",-0.520001000000001
"8",1.940003
"9",-0.150001999999994
"10",-0.270000000000003
"11",1.36
"12",1.200001
"13",-2.560001
"14",-0.560001999999997
"15",-1.34999800000001
"16",-3.780001
"17",-5.049999
"18",-5.219999
"19",-2.540001
"20",0.280000000000001
"21",-1.26
"22",3.67
"23",-0.200001
"24",-0.43
"25",-4.289999
"26",0.300000000000001
"27",-1.21
"28",0.130000000000001
"29",-1.88
"30",-1.93
"31",-1.35
"32",-0.65
"33",0.699999999999999
"34",1.6
"35",0.569999999999999
"36",-0.299999999999999
"37",-1.81
"38",0.6
"39",0.57
"40",-0.4
"41",0.4
"42",0.790000000000001
"43",-0.4
"44",0.129999999999999
"45",-0.809999999999999
"46",-0.4
"47",-0.279999999999999
"48",-0.460000000000001
"49",0.779999999999999
"50",-0.649999999999999
"51",0.799999999999999
"52",0.5
"53",0.540000000000001
"54",0.539999999999999
"55",0.970000000000001
"56",-0.610000000000001
"57",0.720000000000001
"58",0.710000000000001
"59",-0.25
"60",1.51
"61",-0.780000000000001
"62",0.430000000000001
"63",0.809999999999999
"64",-1.73
"65",-3.06
"66",-1.07
"67",1.69
"68",0.6
"69",0.550000000000001
"70",0.789999999999999
