"","x"
"1",0.169999999999998
"2",3.460001
"3",-1.7
"4",0.200000000000003
"5",-1.86
"6",-0.530000999999999
"7",-0.259998
"8",1.899999
"9",-1.309999
"10",-0.580002
"11",-0.379999000000002
"12",2.17
"13",-0.670000000000002
"14",-0.870000999999998
"15",-2.359999
"16",-0.850000000000001
"17",-0.67
"18",0.23
"19",1.480001
"20",-0.670001000000001
"21",0.0600000000000005
"22",-0.5
"23",0.56
"24",-0.960000000000001
"25",-0.949999999999999
"26",-0.0899999999999999
"27",-0.120000000000001
"28",0.930000000000001
"29",-1.36
"30",-0.25
"31",0.4
"32",0.609999999999999
"33",0.48
"34",2.3
"35",-1.79
"36",2.670001
"37",1.489999
"38",-1.630001
"39",0.480001999999999
"40",-1.230002
"41",-1.309999
"42",-0.550000000000001
"43",1.519999
"44",0.740001999999997
"45",-0.120000999999998
"46",-0.950001
"47",0.0899999999999999
"48",-0.679998999999999
"49",0.19
"50",0.749999999999998
"51",-0.909999999999998
"52",0.0499999999999989
"53",-0.279999999999999
"54",0.48
"55",0.360000000000001
"56",-0.890000000000001
"57",-0.0500000000000007
"58",-0.0299999999999994
"59",0.0800000000000001
"60",-0.31
"61",-0.540000000000001
"62",-0.959999999999999
"63",0.0800000000000001
"64",-0.32
"65",-0.0899999999999999
"66",1.2
"67",0.530000000000001
"68",-0.42
"69",-0.450000000000001
"70",-0.16
