"","x"
"1",1.33
"2",-0.299999
"3",1.85
"4",0.899999999999999
"5",0.139999
"6",0.290001
"7",-1.52
"8",1.67
"9",-0.100000999999999
"10",0.430001000000001
"11",0.540001
"12",-0.100000999999999
"13",-0.66
"14",0.0799999999999983
"15",-1.309999
"16",-0.140000999999998
"17",-0.0599999999999987
"18",-1.27
"19",0.0100000000000016
"20",1.66
"21",-0.34
"22",1.17
"23",-0.0599999999999987
"24",-1.219999
"25",0.259998000000003
"26",-1.969999
"27",-1.08
"28",1.66
"29",-0.270000999999997
"30",-0.969999000000001
"31",-1.549999
"32",-0.59
"33",1.699998
"34",0.630001999999998
"35",-0.0900009999999973
"36",-0.920000000000002
"37",1.020001
"38",0.119999
"39",0.399999000000001
"40",-0.599998000000003
"41",-0.350000999999999
"42",0.180001000000001
"43",0.919999999999998
"44",0.32
"45",0.789999000000002
"46",0.569998999999999
"47",1.020001
"48",-0.190000999999999
"49",0.810001999999997
"50",-0.0700000000000003
"51",0.799999000000003
"52",0.509999999999998
"53",0.260000999999999
"54",0.260000000000002
"55",1.52
"56",-1.660002
"57",-0.129999000000002
"58",0.440000999999999
"59",-0.520000999999997
"60",-0.950000000000003
"61",0.649999000000001
"62",-0.519998000000001
"63",0.239999000000001
"64",-2.710001
"65",0.25
"66",-1.859998
"67",2.009998
"68",0.630001
"69",0.119999
"70",0.790001
