"","x"
"1",0.699999000000002
"2",-1.094999
"3",2.155001
"4",1.394998
"5",-0.434997000000003
"6",-0.195
"7",-2.590002
"8",0.825001
"9",1.119998
"10",0.225000999999999
"11",1.035
"12",0.875
"13",0.5
"14",1.25
"15",-2.325001
"16",0.620002999999997
"17",-0.530002999999994
"18",-1.914999
"19",0.114999999999998
"20",1.345001
"21",-0.770000000000003
"22",2.294998
"23",-1.00999899999999
"24",-1.174999
"25",-2.120001
"26",-2.95
"27",-0.940000999999999
"28",1.780001
"29",-0.719999999999999
"30",-1.229999
"31",-1.575001
"32",-0.0100000000000016
"33",2.905001
"34",0.379998999999998
"35",-0.864999999999998
"36",0.905000999999999
"37",1.344999
"38",0.549999
"39",0.615002
"40",0.144998000000001
"41",-1.439998
"42",-0.355001999999999
"43",1.695
"44",0.950001
"45",0.795002
"46",0.509998000000003
"47",0.549999
"48",0.165000999999997
"49",1.875
"50",1.244999
"51",-0.189998000000003
"52",0.884998000000003
"53",0.0800020000000004
"54",0.950001
"55",3.409999
"56",-1.960003
"57",-0.299999
"58",-1.219997
"59",-0.990001999999997
"60",-1.75
"61",1.290001
"62",-1.41
"63",-0.389999000000003
"64",-2.580002
"65",1.630001
"66",-1.52
"67",3.09
"68",-0.330002
"69",0.639999000000003
"70",0.700001
