"","x"
"1",14.009995
"2",-8.66000400000001
"3",10.880005
"4",8.19000199999999
"5",2.909989
"6",6.770004
"7",-5.41999799999999
"8",11.61
"9",0.180008000000015
"10",-3.73001099999999
"11",4.040009
"12",9.679993
"13",-11.429993
"14",12.609985
"15",-12.419983
"16",8.79998800000001
"17",4.73998999999998
"18",1.11001600000003
"19",-2.89999400000005
"20",13.130005
"21",3.03997799999996
"22",-4.08999599999999
"23",4.540008
"24",-4.48998999999998
"25",0.289977999999962
"26",-15.48999
"27",-9.11000100000001
"28",13.819992
"29",3.51001000000002
"30",-12.180008
"31",-14.069992
"32",2.970001
"33",19.779999
"34",3.13000499999998
"35",5.97000099999997
"36",0.410004000000015
"37",11.549988
"38",1.29998800000004
"39",-2.80999800000001
"40",-7.5
"41",21.660004
"42",5.30001799999997
"43",4.97000100000002
"44",7.959992
"45",-2.23999100000003
"46",2.42999300000002
"47",-1.48001099999999
"48",4.25
"49",2.88000499999998
"50",-4.92001299999998
"51",10.75
"52",7.290008
"53",12.290009
"54",-0.5
"55",9.58999599999999
"56",-15.73999
"57",2.47000099999997
"58",-1.22000099999997
"59",14.029999
"60",0.479980000000012
"61",6.05001799999997
"62",11.419983
"63",-5.02999899999998
"64",-35.309997
"65",10.589996
"66",-40.069977
"67",31.119996
"68",14.429992
"69",-2.82000700000003
"70",13.700012
