"","x"
"1",-0.555002000000002
"2",-0.465000999999997
"3",0.190000999999999
"4",0.305
"5",-0.91
"6",-0.724999999999998
"7",1.789999
"8",0.0700019999999988
"9",0.119999
"10",0.539999000000002
"11",0.835003
"12",-0.125
"13",0.0449979999999996
"14",1.345001
"15",-0.720000999999996
"16",0.740000999999999
"17",0.859997
"18",1.015003
"19",3.164997
"20",-2.269996
"21",0.279998999999997
"22",-1.195
"23",-0.905002999999994
"24",-1.34999800000001
"25",1.334999
"26",-0.294998
"27",0.555
"28",-0.190002
"29",-0.384999000000001
"30",-0.240000999999999
"31",1.830001
"32",0.924999999999997
"33",-0.00999900000000054
"34",-0.315002
"35",0.18
"36",2.360001
"37",0.729999000000007
"38",-0.494999
"39",-0.615001000000007
"40",-1.735001
"41",-3.054996
"42",-0.295001999999997
"43",0.260002
"44",0.484997
"45",-0.314999
"46",0.474997999999999
"47",0.560001999999997
"48",0.145000000000003
"49",-0.260002
"50",1.080002
"51",-0.884998000000003
"52",-0.0800020000000004
"53",0.139999000000003
"54",0.540001000000004
"55",-1.240002
"56",-1.119998
"57",0.869998000000002
"58",-0.789997
"59",0.590001000000001
"60",0.129996999999996
"61",-0.569999999999993
"62",0.370002999999997
"63",-1.030003
"64",-1.040001
"65",0.5
"66",1.78000299999999
"67",0.0999980000000065
"68",-0.549999
"69",1.799999
"70",-0.759998000000003
