"","DATE","MONTH","QUARTER","IV_ID","IV_VALUE"
"1","01/31/1967",Jan 1967,1967 Q1,"RPI",3064
"2","02/28/1967",Feb 1967,1967 Q1,"RPI",3066.2
"3","03/31/1967",Mar 1967,1967 Q1,"RPI",3085.4
"4","04/30/1967",Apr 1967,1967 Q2,"RPI",3083.3
"5","05/31/1967",May 1967,1967 Q2,"RPI",3089
"6","06/30/1967",Jun 1967,1967 Q2,"RPI",3101.7
"7","07/31/1967",Jul 1967,1967 Q3,"RPI",3118.8
"8","08/31/1967",Aug 1967,1967 Q3,"RPI",3132.5
"9","09/30/1967",Sep 1967,1967 Q3,"RPI",3133.6
"10","10/31/1967",Oct 1967,1967 Q4,"RPI",3132.6
"11","11/30/1967",Nov 1967,1967 Q4,"RPI",3151.7
"12","12/31/1967",Dec 1967,1967 Q4,"RPI",3182.2
"13","01/31/1968",Jan 1968,1968 Q1,"RPI",3187.4
"14","02/29/1968",Feb 1968,1968 Q1,"RPI",3211.6
"15","03/31/1968",Mar 1968,1968 Q1,"RPI",3239.1
"16","04/30/1968",Apr 1968,1968 Q2,"RPI",3255.8
"17","05/31/1968",May 1968,1968 Q2,"RPI",3271.5
"18","06/30/1968",Jun 1968,1968 Q2,"RPI",3285.3
"19","07/31/1968",Jul 1968,1968 Q3,"RPI",3305.8
"20","08/31/1968",Aug 1968,1968 Q3,"RPI",3319.4
"21","09/30/1968",Sep 1968,1968 Q3,"RPI",3333
"22","10/31/1968",Oct 1968,1968 Q4,"RPI",3339
"23","11/30/1968",Nov 1968,1968 Q4,"RPI",3352.6
"24","12/31/1968",Dec 1968,1968 Q4,"RPI",3365.1
"25","01/31/1969",Jan 1969,1969 Q1,"RPI",3368.4
"26","02/28/1969",Feb 1969,1969 Q1,"RPI",3383.8
"27","03/31/1969",Mar 1969,1969 Q1,"RPI",3397.5
"28","04/30/1969",Apr 1969,1969 Q2,"RPI",3408.8
"29","05/31/1969",May 1969,1969 Q2,"RPI",3421.3
"30","06/30/1969",Jun 1969,1969 Q2,"RPI",3431.3
"31","07/31/1969",Jul 1969,1969 Q3,"RPI",3451.2
"32","08/31/1969",Aug 1969,1969 Q3,"RPI",3473.1
"33","09/30/1969",Sep 1969,1969 Q3,"RPI",3480.7
"34","10/31/1969",Oct 1969,1969 Q4,"RPI",3489.4
"35","11/30/1969",Nov 1969,1969 Q4,"RPI",3490.4
"36","12/31/1969",Dec 1969,1969 Q4,"RPI",3495.2
"37","01/31/1970",Jan 1970,1970 Q1,"RPI",3490.2
"38","02/28/1970",Feb 1970,1970 Q1,"RPI",3495.6
