"","IV_ID","TRANSFORM","LAG","IV_NAME","IV_GROUP"
"1","RPI","MoMDifference","L0","RPIMoMDifferenceL0","placeholder1"
"2","RPI","MoMDifference","L1","RPIMoMDifferenceL1","placeholder1"
"3","RPI","MoMPercentChange","L0","RPIMoMPercentChangeL0","placeholder1"
"4","RPI","MoMPercentChange","L1","RPIMoMPercentChangeL1","placeholder1"
"5","W875RX1","MoMDifference","L0","W875RX1MoMDifferenceL0","placeholder2"
"6","W875RX1","MoMDifference","L1","W875RX1MoMDifferenceL1","placeholder2"
"7","W875RX1","MoMPercentChange","L0","W875RX1MoMPercentChangeL0","placeholder2"
"8","W875RX1","MoMPercentChange","L1","W875RX1MoMPercentChangeL1","placeholder2"
"9","DPCERA3M086SBEA","MoMDifference","L0","DPCERA3M086SBEAMoMDifferenceL0","placeholder3"
"10","DPCERA3M086SBEA","MoMDifference","L1","DPCERA3M086SBEAMoMDifferenceL1","placeholder3"
"11","DPCERA3M086SBEA","MoMPercentChange","L0","DPCERA3M086SBEAMoMPercentChangeL0","placeholder3"
"12","DPCERA3M086SBEA","MoMPercentChange","L1","DPCERA3M086SBEAMoMPercentChangeL1","placeholder3"
"13","CMRMTSPL","MoMDifference","L0","CMRMTSPLMoMDifferenceL0","placeholder4"
"14","CMRMTSPL","MoMDifference","L1","CMRMTSPLMoMDifferenceL1","placeholder4"
"15","CMRMTSPL","MoMPercentChange","L0","CMRMTSPLMoMPercentChangeL0","placeholder4"
"16","CMRMTSPL","MoMPercentChange","L1","CMRMTSPLMoMPercentChangeL1","placeholder4"
"17","INDPRO","MoMDifference","L0","INDPROMoMDifferenceL0","placeholder5"
"18","INDPRO","MoMDifference","L1","INDPROMoMDifferenceL1","placeholder5"
"19","INDPRO","MoMPercentChange","L0","INDPROMoMPercentChangeL0","placeholder5"
"20","INDPRO","MoMPercentChange","L1","INDPROMoMPercentChangeL1","placeholder5"
"21","IPFPNSS","MoMDifference","L0","IPFPNSSMoMDifferenceL0","placeholder6"
"22","IPFPNSS","MoMDifference","L1","IPFPNSSMoMDifferenceL1","placeholder6"
"23","IPFPNSS","MoMPercentChange","L0","IPFPNSSMoMPercentChangeL0","placeholder6"
"24","IPFPNSS","MoMPercentChange","L1","IPFPNSSMoMPercentChangeL1","placeholder6"
